59 , Generation
1003 , |Individual Number|
10 , |Number of points|
-0.6466927709859466 , 0.3871207522463664 , 1.4902700801412523 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
-0.714523411537094 , -0.2164234731140668 , 0.7488410652375923 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
0.006951018889437596 , 0.5949359563445934 , 0.9847326278554848 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
0.665350322549512 , 0.012758490721318 , 1.44047541255439 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
0.5545787012495991 , 0.5675689354216427 , 0.3841588351316889 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
0.21631239758452506 , 0.0319889997330684 , 1.5796171243972492 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
1.0068796716983284 , 0.28708390726146893 , 1.6473047226881852 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
-0.22268304265144437 , 0.27834468973703974 , 1.2323554952842612 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
0.32849199882649605 , 0.3587651967248396 , 1.6185366915733188 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
-0.650148519700784 , 0.6696419273672093 , 0.6026777346304883 , |[0.33546419649665155, 0.33546419649665155, 0.019703752613783, 0.198265960533861, 0.091499097581579, 0.091499097581579, 0.091499097581579, 0.021100286428819, 0.021100286428819, 0.021100286428819]|
