18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
True , |Sim Sucess|
True , |Real Sucess|
19 , |Parent of Generation|
2.775397038833688 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.8032338746841687 , -0.5330431284166566 , 1.295397256540285 , 0.19826596053386067
-0.6406464021408965 , 0.5620349410223402 , 0.3669706624063168 , 0.19826596053386067
True , |Sim Sucess|
True , |Real Sucess|
20 , |Parent of Generation|
5.4823066926828785 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.1031246288670121 , -0.3982401229700382 , 1.0743073578975246 , 0.19826596053386067
-0.8032338746841687 , -0.5330431284166566 , 1.295397256540285 , 0.19826596053386067
-0.6772008861204482 , 0.5976388374997417 , 0.2936431084480066 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
9 , |Parent of Generation|
5.550794077667377 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.2860341961824485 , -0.36040215877983606 , 0.9229140515718544 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.8470589853375114 , 0.280054579723196 , 0.16566968117552613 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
10 , |Parent of Generation|
8.240389474914126 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.8470589853375114 , 0.280054579723196 , 0.16566968117552613 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
11 , |Parent of Generation|
10.991995575916592 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.8470589853375114 , 0.280054579723196 , 0.16566968117552613 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
12 , |Parent of Generation|
13.743601676919058 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.6268445289976007 , -0.6986051285962558 , 1.0672534798372268 , 0.19826596053386067
-0.8610570607244393 , 0.08613318084130522 , 0.24593506836563872 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
13 , |Parent of Generation|
16.429760654371826 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.3711603397027784 , -0.5160460420330066 , 0.9998292974197384 , 0.19826596053386067
-0.8610570607244393 , 0.08613318084130522 , 0.24593506836563872 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
14 , |Parent of Generation|
18.764622535781424 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.3711603397027784 , -0.5160460420330066 , 0.9998292974197384 , 0.19826596053386067
-0.8610570607244393 , 0.08613318084130522 , 0.24593506836563872 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
15 , |Parent of Generation|
21.09948441719102 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
-0.3894014602464785 , -0.3648921311933683 , 0.9196882430308762 , 0.19826596053386067
-0.32472720466010335 , -0.5468982404028095 , 0.8100601119722282 , 0.19826596053386067
-0.7985110716728334 , 0.05545805433928375 , 0.3968597271767338 , 0.19826596053386067
True , |Sim Sucess|
False , |Real Sucess|
16 , |Parent of Generation|
23.3871442825653 , |Acc Euclidean Generation|
18 , Generation
309 , |Individual Number|
3 , |Number of points|
