19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.30305515350565704 , -0.08743238469497813 , 0.5012000447070034 , 0.19826596053386067
-0.33609184741702264 , -0.5500619995249456 , 0.36684421173625414 , 0.19826596053386067
-0.5679067088168678 , 0.7638266182936234 , 0.687443956464261 , 0.19826596053386067
-0.594058430801822 , 0.025784024880908696 , 1.9316038051885716 , 0.021100286428819233
False , |Sim Sucess|
False , |Real Sucess|
20 , |Parent of Generation|
2.990291644542873 , |Acc Euclidean Generation|
19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.30305515350565704 , -0.08743238469497813 , 0.5012000447070034 , 0.19826596053386067
-0.33609184741702264 , -0.5500619995249456 , 0.36684421173625414 , 0.19826596053386067
-0.5679067088168678 , 0.7638266182936234 , 0.687443956464261 , 0.19826596053386067
-0.594058430801822 , 0.025784024880908696 , 1.9316038051885716 , 0.021100286428819233
True , |Sim Sucess|
False , |Real Sucess|
9 , |Parent of Generation|
5.980583289085743 , |Acc Euclidean Generation|
19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.30305515350565704 , -0.08743238469497813 , 0.5012000447070034 , 0.19826596053386067
-0.33609184741702264 , -0.5500619995249456 , 0.36684421173625414 , 0.19826596053386067
-0.5679067088168678 , 0.7638266182936234 , 0.687443956464261 , 0.19826596053386067
-0.594058430801822 , 0.025784024880908696 , 1.9316038051885716 , 0.021100286428819233
True , |Sim Sucess|
False , |Real Sucess|
10 , |Parent of Generation|
8.970874933628616 , |Acc Euclidean Generation|
19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.30305515350565704 , -0.08743238469497813 , 0.5012000447070034 , 0.19826596053386067
-0.33609184741702264 , -0.5500619995249456 , 0.36684421173625414 , 0.19826596053386067
-0.5679067088168678 , 0.7638266182936234 , 0.687443956464261 , 0.19826596053386067
-0.5825513007187545 , -0.11992040074320184 , 1.9932070124750905 , 0.021100286428819233
True , |Sim Sucess|
False , |Real Sucess|
11 , |Parent of Generation|
11.97272547219261 , |Acc Euclidean Generation|
19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.3159871405684857 , 0.00907067340430319 , 0.40858895293409814 , 0.19826596053386067
-0.3003551075820574 , -0.7458778076086112 , 0.34416607029932944 , 0.19826596053386067
-0.505084585913983 , 0.8602777585640562 , 0.8463700943492507 , 0.19826596053386067
-0.6292592080838108 , -0.07235690907406551 , 2.025979644413946 , 0.021100286428819233
True , |Sim Sucess|
False , |Real Sucess|
12 , |Parent of Generation|
15.34055206276953 , |Acc Euclidean Generation|
19 , Generation
326 , |Individual Number|
4 , |Number of points|
0.3159871405684857 , 0.00907067340430319 , 0.40858895293409814 , 0.19826596053386067
-0.3003551075820574 , -0.7458778076086112 , 0.34416607029932944 , 0.19826596053386067
-0.505084585913983 , 0.8602777585640562 , 0.8463700943492507 , 0.19826596053386067
-0.6292592080838108 , -0.07235690907406551 , 2.025979644413946 , 0.021100286428819233
True , |Sim Sucess|
